Date : 2024-06-29 12:30:45
Directory : y:\RAMworkspace\F4Z_test
Total : 340 files,  29153 codes, 27966 comments, 12608 blanks, all 69727 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| y:\RAMworkspace\F4Z_test\Core\Src\stm32f4xx_hal_msp.c                                                   | C              |          6 |         52 |         25 |         83 |
| y:\RAMworkspace\F4Z_test\Core\Src\stm32f4xx_it.c                                                        | C              |         73 |        145 |         45 |        263 |
| y:\RAMworkspace\F4Z_test\Core\Src\syscalls.c                                                            | C              |        123 |         25 |         29 |        177 |
| y:\RAMworkspace\F4Z_test\Core\Src\sysmem.c                                                              | C              |         24 |         48 |          8 |         80 |
| y:\RAMworkspace\F4Z_test\Core\Src\system_stm32f4xx.c                                                    | C              |        346 |        319 |         83 |        748 |
| y:\RAMworkspace\F4Z_test\Core\Src\tim.c                                                                 | C              |         32 |         43 |         23 |         98 |
| y:\RAMworkspace\F4Z_test\Core\Src\usart.c                                                               | C              |        112 |         51 |         32 |        195 |
| y:\RAMworkspace\F4Z_test\Core\Startup\startup_stm32f407zgtx.s                                           | Assembler file |        398 |          0 |        111 |        509 |
| y:\RAMworkspace\F4Z_test\F4Z_test Debug.launch                                                          | XML            |         83 |          0 |          1 |         84 |
| y:\RAMworkspace\F4Z_test\FileX\App\app_filex.c                                                          | C              |         74 |         49 |         20 |        143 |
| y:\RAMworkspace\F4Z_test\FileX\App\app_filex.h                                                          | C              |         14 |         41 |         17 |         72 |
| y:\RAMworkspace\F4Z_test\FileX\App\fx_user.h                                                            | C              |          4 |        140 |         69 |        213 |
| y:\RAMworkspace\F4Z_test\FileX\Target\fx_stm32_sd_driver.h                                              | C              |         62 |         76 |         68 |        206 |
| y:\RAMworkspace\F4Z_test\FileX\Target\fx_stm32_sd_driver_glue.c                                         | C              |         64 |         81 |         42 |        187 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\drivers\fx_stm32_sd_driver.c                       | C              |        261 |         71 |         80 |        412 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_api.h                                       | C              |      1,062 |        292 |        318 |      1,672 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_directory.h                                 | C              |         75 |         46 |         17 |        138 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_directory_exFAT.h                           | C              |         49 |         58 |         55 |        162 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_fault_tolerant.h                            | C              |        135 |        222 |         58 |        415 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_file.h                                      | C              |         67 |         47 |         12 |        126 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_media.h                                     | C              |         53 |         46 |         16 |        115 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_system.h                                    | C              |         31 |        102 |         43 |        176 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_unicode.h                                   | C              |         46 |         47 |         18 |        111 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_user_sample.h                               | C              |          7 |        146 |        109 |        262 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\inc\fx_utility.h                                   | C              |         54 |         52 |         21 |        127 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_attributes_read.c                 | C              |         41 |         84 |         32 |        157 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_attributes_set.c                  | C              |         69 |         97 |         40 |        206 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_create.c                          | C              |        433 |        264 |        208 |        905 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_default_get.c                     | C              |         18 |         70 |         19 |        107 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_default_get_copy.c                | C              |         24 |         73 |         18 |        115 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_default_set.c                     | C              |        197 |        158 |         99 |        454 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_delete.c                          | C              |        300 |        163 |        127 |        590 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_entry_read.c                      | C              |        378 |        242 |        167 |        787 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_entry_write.c                     | C              |        607 |        308 |        238 |      1,153 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_exFAT_entry_read.c                | C              |        343 |        221 |        155 |        719 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_exFAT_entry_write.c               | C              |         11 |         77 |         15 |        103 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_exFAT_free_search.c               | C              |        237 |        173 |        107 |        517 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_exFAT_unicode_entry_write.c       | C              |        478 |        268 |        201 |        947 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_first_entry_find.c                | C              |         36 |         75 |         26 |        137 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_first_full_entry_find.c           | C              |         39 |         83 |         25 |        147 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_free_search.c                     | C              |        385 |        240 |        154 |        779 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_information_get.c                 | C              |         82 |        108 |         46 |        236 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_local_path_clear.c                | C              |         26 |         68 |         21 |        115 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_local_path_get.c                  | C              |         34 |         73 |         23 |        130 |
| y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_directory_local_path_get_copy.c             | C              |         33 |         72 |         19 |        124 |
